subject name ;m1 right;m1 left
20191210_Reconstruction;full donut ;compartment
20201020_Reconstruction;eye donut ;eye donut
20201110_Reconstruction;eye donut ;full donut
20201111_Reconstruction;eye donut ;eye donut
20201019_Reconstruction;eye donut ;eye donut
20201014_Reconstruction;eye donut;eye donut 
20201016_Reconstruction;eye donut;eye donut 
20201008_Reconstruction;eye donut;eye donut
20191022_Reconstruction;eye donut ;eye donut
20191112_Reconstruction;eye donut;eye donut
20191029_Reconstruction;eye donut; eye donut 
