subject name;A1 right;A1 left
20191210_Reconstruction;full donut;full donut
20201020_Reconstruction;full donut ;full donut 
20201110_Reconstruction;full donut;full donut 
20201111_Reconstruction;full donut;eye donut 
20201019_Reconstruction;full donut ;full donut 
20201014_Reconstruction;full donut;full donut
20201016_Reconstruction;full donut;full donut
20201008_Reconstruction;full donut;eye donut
20191022_Reconstruction;full donut;full donut
20191112_Reconstruction;full donut;eye donut
